name,source,school,level,ritual,time,range,components,duration,description,save,save_type,attack,attack_type,Lists
Encode Thoughts,Guildmaster's Guide to Ravnica,Enchantment,cantrip,FALSE,1 action,Self,S,8 hours,"you pull a memory, an idea, or a message from your mind and transform it into a tangible string of glowing energy called a thought strand, which persists for the duration or until you cast this spell again. the thought strand appears in an unoccupied space within 5 feet of you as a tiny, weightless, semisolid object that can be held and carried like a ribbon. it is otherwise stationary. if you cast this spell while concentrating on a spell or an ability that allows you to read or manipulate the thoughts of others (such as detect thoughts or modify memory), you can transform the thoughts or memories you read, rather than your own, into a thought strand. casting this spell while holding a thought strand allows you to instantly receive whatever memory, idea, or message the thought strand contains. (casting detect thoughts on the strand has the same effect.)",FALSE,FALSE,FALSE,FALSE,wizard
Fire Bolt,Player's Handbook,Evocation,cantrip,FALSE,1 action,120 feet,"V, S",Instantaneous,"you hurl a mote of fire at a creature or object within range. make a ranged spell attack against the target. on a hit, the target takes 1d10 fire damage. a flammable object hit by this spell ignites if it isn’t being worn or carried. at higher levels. this spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",FALSE,FALSE,TRUE,ranged spell attack,"artificer, sorcerer, wizard"
Friends,Player's Handbook,Enchantment,cantrip,FALSE,1 action,Self,"S, M (a small amount of makeup applied to the face as this spell is cast)","Concentration, up to 1 minute","for the duration, you have advantage on all charisma checks directed at one creature of your choice that isn't hostile toward you. when the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. a creature prone to violence might attack you. another creature might seek retribution in other ways (at the dm's discretion), depending on the nature of your interaction with it.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Frostbite,Xanathar's Guide to Everything,Evocation,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"you cause numbing frost to form on one creature that you can see within range. the target must make a constitution saving throw. on a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn. at higher levels. the spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['constitution'],FALSE,FALSE,"druid, sorcerer, warlock, wizard, artificer"
Green Flame Blade,Tasha's Cauldron of Everything/Sword Coast Adventurer's Guide,Evocation,cantrip,FALSE,1 action,Self (5-foot radius),"S, M (a melee weapon worth at least 1 sp)",Instantaneous,"you brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. on a hit, the target suffers the weapon attack’s normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. the second creature takes fire damage equal to your spellcasting ability modifier. at higher levels. at 5th level, the melee attack deals an extra 1d8 fire damage to the target on a hit, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. both damage rolls increase by 1d8 at 11th level (2d8 and 2d8) and 17th level (3d8 and 3d8).",FALSE,FALSE,FALSE,FALSE,"artificer, sorcerer (optional), warlock (optional), wizard (optional)"
Guidance,Player's Handbook,Divination,cantrip,FALSE,1 action,Touch,"V, S","Concentration, up to 1 minute","you touch one willing creature. once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. it can roll the die before or after making the ability check. the spell then ends.",FALSE,FALSE,FALSE,FALSE,"artificer, cleric, druid"
Gust,Xanathar's Guide to Everything,Transmutation,cantrip,FALSE,1 action,30 feet,"V, S",Instantaneous,you seize the air and compel it to create one of the following effects at a point you can see within range:,FALSE,FALSE,FALSE,FALSE,"druid, sorcerer, wizard"
Hand Of Radiance,Unearthed Arcana 36 - Starter Spells,Evocation,cantrip,FALSE,1 action,5 feet,"V, S",Instantaneous,"you raise your hand, and burning radiance erupts from it. each creature of your choice that you can see within 5 feet of you must succeed on a constitution saving throw or take 1d6 radiant damage. at higher levels: the spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['constitution'],FALSE,FALSE,cleric
Infestation,Xanathar's Guide to Everything,Conjuration,cantrip,FALSE,1 action,30 feet,"V, S, M (a living flea)",Instantaneous,"you cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. the target must succeed on a constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. this movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move. at higher levels. the spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['constitution'],FALSE,FALSE,"druid, sorcerer, warlock, wizard"
Light,Player's Handbook,Evocation,cantrip,FALSE,1 action,Touch,"V, M (a firefly or phosphorescent moss)",1 hour,"you touch one object that is no larger than 10 feet in any dimension. until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. the light can be colored as you like. completely covering the object with something opaque blocks the light. the spell ends if you cast it again or dismiss it as an action. if you target an object held or worn by a hostile creature, that creature must succeed on a dexterity saving throw to avoid the spell.",TRUE,['dexterity'],FALSE,FALSE,"artificer, bard, cleric, sorcerer, wizard"
Lightning Lure,Tasha's Cauldron of Everything,Evocation,cantrip,FALSE,1 action,Self (15-foot radius),V,Instantaneous,"you create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. the target must succeed on a strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you. at higher levels. this spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",TRUE,['strength'],FALSE,FALSE,"artificer, sorcerer (optional), warlock (optional), wizard (optional)"
Mage Hand,Player's Handbook,Conjuration,cantrip,FALSE,1 action,30 feet,"V, S",1 minute,"a spectral, floating hand appears at a point you choose within range. the hand lasts for the duration or until you dismiss it as an action. the hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. you can use your action to control the hand. you can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. you can move the hand up to 30 feet each time you use it. the hand can’t attack, activate magical items, or carry more than 10 pounds.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, sorcerer, warlock, wizard"
Magic Stone,Xanathar's Guide to Everything/Elemental Evil Player's Companion,Transmutation,cantrip,FALSE,1 bonus action,Touch,"V, S",1 minute,"you touch one to three pebbles and imbue them with magic. you or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. if thrown, it has a range of 60 feet. if someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker’s, to the attack roll. on a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. hit or miss, the spell then ends on the stone. if you cast this spell again, the spell ends early on any pebbles still affected by it.",FALSE,FALSE,TRUE,ranged spell attack,"druid, warlock, artificer"
Mending,Player's Handbook,Transmutation,cantrip,FALSE,1 minute,Touch,"V, S, M (two lodestones)",Instantaneous,"this spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. as long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage. this spell can physically repair a magic item or construct, but the spell can’t restore magic to such an object.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, cleric, druid, sorcerer, wizard"
Message,Player's Handbook,Transmutation,cantrip,FALSE,1 action,120 feet,"V, S, M (a short piece of copper wire)",1 round,"you point your finger toward a creature within range and whisper a message. the target (and only the target) hears the message and can reply in a whisper that only you can hear. you can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. the spell doesn’t have to follow a straight line and can travel freely around corners or through openings.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, sorcerer, wizard"
Mind Sliver,Tasha's Cauldron of Everything,Enchantment,cantrip,FALSE,1 action,60 feet,V,1 round,"you drive a disorienting spike of psychic energy into the mind of one creature you can see within range. the target must succeed on an intelligence saving throw or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn. at higher levels. this spell’s damage increases by 1d6 when you reach certain levels: 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,"['intelligence', 'next']",FALSE,FALSE,"sorcerer (optional), warlock (optional), wizard (optional)"
Minor Illusion,Player's Handbook,Illusion,cantrip,FALSE,1 action,30 feet,"S, M (a bit of fleece)",1 minute,"you create a sound or an image of an object within range that lasts for the duration. the illusion also ends if you dismiss it as an action or cast this spell again. if you create a sound, its volume can range from a whisper to a scream. it can be your voice, someone else’s voice, a lion’s roar, a beating of drums, or any other sound you choose. the sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends. if you create an image of an object—such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot cube. the image can’t create sound, light, smell, or any other sensory effect. physical interaction with the image reveals it to be an illusion, because things can pass through it. if a creature uses its action to examine the sound or image, the creature can determine that it is an illusion with a successful intelligence (investigation) check against your spell save dc. if a creature discerns the illusion for what it is, the illusion becomes faint to the creature.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Mold Earth,Xanathar's Guide to Everything,Transmutation,cantrip,FALSE,1 action,30 feet,S,Instantaneous or 1 hour,"you choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. you manipulate it in one of the following ways: if you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",FALSE,FALSE,FALSE,FALSE,"druid, sorcerer, wizard"
On Off,Unearthed Arcana 7 - Modern Magic,Transmutation,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"this cantrip allows you to activate or deactivate any electronic device within range, as long as the device has a clearly defined on or off function that can be easily accessed from the outside of the device. any device that requires a software-based shutdown sequence to activate or deactivate cannot be affected by on/off.",FALSE,FALSE,FALSE,FALSE,"sorcerer, warlock, wizard"
Poison Spray,Player's Handbook,Conjuration,cantrip,FALSE,1 action,10 feet,"V, S",Instantaneous,"you extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. the creature must succeed on a constitution saving throw or take 1d12 poison damage. at higher levels. this spell’s damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).",TRUE,['constitution'],FALSE,FALSE,"artificer, druid, sorcerer, warlock, wizard"
Prestidigitation,Player's Handbook,Transmutation,cantrip,FALSE,1 action,10 feet,"V, S",Up to 1 hour,"this spell is a minor magical trick that novice spellcasters use for practice. you create one of the following magical effects within range: if you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, sorcerer, warlock, wizard"
Primal Savagery,Xanathar's Guide to Everything,Transmutation,cantrip,FALSE,1 action,Self,S,Instantaneous,"you channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. make a melee spell attack against one creature within 5 feet of you. on a hit, the target takes 1d10 acid damage. after you make the attack, your teeth or fingernails return to normal. at higher levels. the spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",FALSE,FALSE,TRUE,melee spell attack,druid
Produce Flame,Player's Handbook,Conjuration,cantrip,FALSE,1 action,Self,"V, S",10 minutes,"a flickering flame appears in your hand. the flame remains there for the duration and harms neither you nor your equipment. the flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. the spell ends if you dismiss it as an action or if you cast it again. you can also attack with the flame, although doing so ends the spell. when you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. make a ranged spell attack. on a hit, the target takes 1d8 fire damage. at higher levels. this spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",FALSE,FALSE,TRUE,ranged spell attack,druid
Ray Of Frost,Player's Handbook,Evocation,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"a frigid beam of blue-white light streaks toward a creature within range. make a ranged spell attack against the target. on a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn. at higher levels. the spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",FALSE,FALSE,TRUE,ranged spell attack,"artificer, sorcerer, wizard"
Resistance,Player's Handbook,Abjuration,cantrip,FALSE,1 action,Touch,"V, S, M (a miniature cloak)","Concentration, up to 1 minute","you touch one willing creature. once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. it can roll the die before or after the saving throw. the spell then ends.",TRUE,"['one', 'the']",FALSE,FALSE,"artificer, cleric, druid"
Sacred Flame,Player's Handbook,Evocation,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"flame-like radiance descends on a creature that you can see within range. the target must succeed on a dexterity saving throw or take 1d8 radiant damage. the target gains no benefit from cover for this saving throw. at higher levels. the spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",TRUE,"['dexterity', 'this']",FALSE,FALSE,cleric
Sapping Sting,Explorer's Guide to Wildemount,Necromancy,cantrip,FALSE,1 action,30 feet,"V, S",Instantaneous,"you sap the vitality of one creature you can see in range. the target must succeed on a constitution saving throw or take 1d4 necrotic damage and fall prone. at higher levels. this spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).",TRUE,['constitution'],FALSE,FALSE,wizard (dunamancy)
Shape Water,Xanathar's Guide to Everything,Transmutation,cantrip,FALSE,1 action,30 feet,S,Instantaneous or 1 hour,"you choose an area of water that you can see within range and that fits within a 5-foot cube. you manipulate it in one of the following ways: if you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",FALSE,FALSE,FALSE,FALSE,"druid, sorcerer, wizard"
Shillelagh,Player's Handbook,Transmutation,cantrip,FALSE,1 bonus action,Touch,"V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff)",1 minute,"the wood of a club or quarterstaff you are holding is imbued with nature’s power. for the duration, you can use your spellcasting ability instead of strength for the attack and damage rolls of melee attacks using that weapon, and the weapon’s damage die becomes a d8. the weapon also becomes magical, if it isn’t already. the spell ends if you cast it again or if you let go of the weapon.",FALSE,FALSE,FALSE,FALSE,druid
Shocking Grasp,Player's Handbook,Evocation,cantrip,FALSE,1 action,Touch,"V, S",Instantaneous,"lightning springs from your hand to deliver a shock to a creature you try to touch. make a melee spell attack against the target. you have advantage on the attack roll if the target is wearing armor made of metal. on a hit, the target takes 1d8 lightning damage, and it can’t take reactions until the start of its next turn. at higher levels. the spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",FALSE,FALSE,TRUE,melee spell attack,"artificer, sorcerer, wizard"
Spare The Dying,Player's Handbook,Necromancy,cantrip,FALSE,1 action,Touch,"V, S",Instantaneous,you touch a living creature that has 0 hit points. the creature becomes stable. this spell has no effect on undead or constructs.,FALSE,FALSE,FALSE,FALSE,"artificer, cleric"
Sword Burst,Tasha's Cauldron of Everything,Conjuration,cantrip,FALSE,1 action,Self (5-foot radius),V,Instantaneous,"you create a momentary circle of spectral blades that sweep around you. all other creatures within 5 feet of you must succeed on a dexterity saving throw or take 1d6 force damage. at higher levels. this spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['dexterity'],FALSE,FALSE,"artificer, sorcerer (optional), warlock (optional), wizard (optional)"
Thaumaturgy,Player's Handbook,Transmutation,cantrip,FALSE,1 action,30 feet,V,Up to 1 minute,"you manifest a minor wonder, a sign of supernatural power, within range. you create one of the following magical effects within range: if you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action.",FALSE,FALSE,FALSE,FALSE,cleric
Thorn Whip,Player's Handbook,Transmutation,cantrip,FALSE,1 action,30 feet,"V, S, M (the stem of a plant with thorns)",Instantaneous,"you create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. make a melee spell attack against the target. if the attack hits, the creature takes 1d6 piercing damage, and if the creature is large or smaller, you pull the creature up to 10 feet closer to you. at higher levels. this spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",FALSE,FALSE,TRUE,melee spell attack,"artificer, druid"
Thunderclap,Xanathar's Guide to Everything,Evocation,cantrip,FALSE,1 action,Self (5-foot radius),S,Instantaneous,"you create a burst of thunderous sound, which can be heard 100 feet away. each creature other than you within 5 feet of you must make a constitution saving throw. on a failed save, the creature takes 1d6 thunder damage. at higher levels. the spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['constitution'],FALSE,FALSE,"bard, druid, sorcerer, warlock, wizard, artificer"
Toll The Dead,Xanathar's Guide to Everything,Necromancy,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"you point at one creature you can see within range, and the sound of a dolorous bell fills the air around it for a moment. the target must succeed on a wisdom saving throw or take 1d8 necrotic damage. if the target is missing any of its hit points, it instead takes 1d12 necrotic damage. at higher levels. the spell’s damage increases by one die when you reach 5th level (2d8 or 2d12), 11th level (3d8 or 3d12), and 17th level (4d8 or 4d12).",TRUE,['wisdom'],FALSE,FALSE,"cleric, warlock, wizard"
True Strike,Player's Handbook,Divination,cantrip,FALSE,1 action,30 feet,S,"Concentration, up to 1 round","you extend your hand and point a finger at a target in range. your magic grants you a brief insight into the target’s defenses. on your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn’t ended.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Vicious Mockery,Player's Handbook,Enchantment,cantrip,FALSE,1 action,60 feet,V,Instantaneous,"you unleash a string of insults laced with subtle enchantments at a creature you can see within range. if the target can hear you (though it need not understand you), it must succeed on a wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn. at higher levels. this spell’s damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).",TRUE,['wisdom'],FALSE,FALSE,bard
Virtue,Unearthed Arcana 36 - Starter Spells,Abjuration,cantrip,FALSE,1 action,Touch,"V, S",1 round,"you touch one creature, imbuing it with vitality. if the target has at least 1 hit point, it gains a number of temporary hit points equal to 1d4 + your spellcasting ability modifier. the temporary hit points are lost when the spell ends.",FALSE,FALSE,FALSE,FALSE,cleric
Word Of Radiance,Xanathar's Guide to Everything,Evocation,cantrip,FALSE,1 action,5 feet,"V, M (a holy symbol)",Instantaneous,"you utter a divine word, and burning radiance erupts from you. each creature of your choice that you can see within range must succeed on a constitution saving throw or take 1d6 radiant damage. at higher levels. the spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['constitution'],FALSE,FALSE,cleric
Absorb Elements,Xanathar's Guide to Everything,abjuration,1st-level,FALSE,"1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage",Self,S,1 round,"the spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. you have resistance to the triggering damage type until the start of your next turn. also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.",FALSE,FALSE,FALSE,FALSE,"artificer, druid, ranger, sorcerer, wizard"
Acid Stream,Unearthed Arcana 70 - Spells and Magic Tattoos,evocation,1st-level,FALSE,1 action,Self (30-foot line),"V, S, M (a bit of rotten food)","Concentration, up to 1 minute","a stream of acid emanates from you in a line 30 feet long and 5 feet wide in a direction you choose. each creature in the line must succeed on a dexterity saving throw or be covered in acid for the spell’s duration or until a creature uses its action to scrape or wash the acid off itself or another creature. a creature covered in the acid takes 3d4 acid damage at the start of each of its turns. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d4 for each slot level above 1st.",TRUE,['dexterity'],FALSE,FALSE,"sorcerer, wizard"
Alarm,Player's Handbook,abjuration,1st-level,TRUE,1 minute,30 feet,"V, S, M (a tiny bell and a piece of fine silver wire)",8 hours,"you set an alarm against unwanted intrusion. choose a door, a window, or an area within range that is no larger than a 20-foot cube. until the spell ends, an alarm alerts you whenever a tiny or larger creature touches or enters the warded area. when you cast the spell, you can designate creatures that won’t set off the alarm. you also choose whether the alarm is mental or audible. a mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. this ping awakens you if you are sleeping. an audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",FALSE,FALSE,FALSE,FALSE,"artificer, ranger, wizard"
Animal Friendship,Player's Handbook,enchantment,1st-level,FALSE,1 action,30 feet,"V, S, M (a morsel of food)",24 hours,"this spell lets you convince a beast that you mean it no harm. choose a beast that you can see within range. it must see and hear you. if the beast’s intelligence is 4 or higher, the spell fails. otherwise, the beast must succeed on a wisdom saving throw or be charmed by you for the spell’s duration. if you or one of your companions harms the target, the spell ends. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.",TRUE,['wisdom'],FALSE,FALSE,"bard, druid, ranger"
Arcane Weapon,Unearthed Arcana 60 - The Artificer Returns,transmutation,1st-level,FALSE,1 bonus action,Self,"V, S","Concentration, up to 1 hour","you channel arcane energy into one simple or martial weapon you’re holding, and choose one damage type: acid, cold, fire, lightning, poison, or thunder. until the spell ends, you deal an extra 1d6 damage of the chosen type to any target you hit with the weapon. if the weapon isn’t magical, it becomes a magic weapon for the spell’s duration. as a bonus action, you can change the damage type, choosing from the options above. at higher levels. when you cast this spell using a spell slot of 3rd level or higher, you can maintain your concentration on the spell for up to 8 hours.",FALSE,FALSE,FALSE,FALSE,artificer
Armor Of Agathys,Player's Handbook,abjuration,1st-level,FALSE,1 action,Self,"V, S, M (a cup of water)",1 hour,"a protective magical force surrounds you, manifesting as a spectral frost that covers you and your gear. you gain 5 temporary hit points for the duration. if a creature hits you with a melee attack while you have these hit points, the creature takes 5 cold damage. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, both the temporary hit points and the cold damage increase by 5 for each slot.",FALSE,FALSE,FALSE,FALSE,warlock
Arms Of Hadar,Player's Handbook,conjuration,1st-level,FALSE,1 action,Self (10-foot radius),"V, S",Instantaneous,"you invoke the power of hadar, the dark hunger. tendrils of dark energy erupt from you and batter all creatures within 10 feet of you. each creature in that area must make a strength saving throw. on a failed save, a target takes 2d6 necrotic damage and can’t take reactions until its next turn. on a successful save, the creature takes half damage, but suffers no other effect. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",TRUE,['strength'],FALSE,FALSE,warlock
Bane,Player's Handbook,enchantment,1st-level,FALSE,1 action,30 feet,"V, S, M (a drop of blood)","Concentration, up to 1 minute","up to three creatures of your choice that you can see within range must make charisma saving throws. whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw. at higher levels. when you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",TRUE,"['charisma', 'this', 'a', 'or']",FALSE,FALSE,"bard, cleric"
